@attribute Serialized_Test_Set_Size numeric
@attribute Coverage_of_Test_Cases_By_Regions numeric
@attribute Size_of_Predicted_Regions numeric
@attribute Summary {'Number of leaves: 2\nSize of the tree: 3\n','Number of leaves: 5\nSize of the tree: 9\n','Number of leaves: 6\nSize of the tree: 11\n','Number of leaves: 4\nSize of the tree: 7\n'}
@attribute measureTreeSize numeric
@attribute measureNumLeaves numeric
@attribute measureNumRules numeric
@attribute measureOutOfBagError numeric
@attribute measureAttributesUsed numeric
@attribute measureNumIterations numeric

@data

Filterd_dementia_data,1,10,weka.classifiers.rules.ZeroR,'',48055541465867954,20231011.074,336,37,19,18,0,51.351351,48.648649,0,0,0.386776,0.440356,100,100,50.767398,50.767398,0,1.372092,1.372092,0,0,0,0,1,19,1,18,0,0,0,0,0.513514,1,0.678571,?,0.5,0.513514,0.513514,0.513514,0.486486,0.486486,?,0.513514,?,?,0.5,0.418554,?,0.513514,0,0,0.000024,0.000015,0.024,0.015,932,32680,4873,100,100,?,?,?,?,?,?,?
Filterd_dementia_data,2,1,weka.classifiers.rules.ZeroR,'',48055541465867954,20231011.074,335,38,19,19,0,50,50,0,0,0.387211,0.440916,100,100,52.118625,52.118625,0,1.371543,1.371543,0,0,0,0,1,19,1,19,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.416898,?,0.5,0,0,0.000029,0.000017,0.029,0.017,932,32587,4966,100,100,?,?,?,?,?,?,?
Filterd_dementia_data,2,2,weka.classifiers.rules.ZeroR,'',48055541465867954,20231011.074,335,38,19,19,0,50,50,0,0,0.387211,0.440916,100,100,52.118625,52.118625,0,1.371543,1.371543,0,0,0,0,1,19,1,19,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.416898,?,0.5,0,0,0.000033,0.000019,0.033,0.019,932,32587,4966,100,100,?,?,?,?,?,?,?
Filterd_dementia_data,2,3,weka.classifiers.rules.ZeroR,'',48055541465867954,20231011.074,335,38,19,19,0,50,50,0,0,0.387211,0.440916,100,100,52.118625,52.118625,0,1.371543,1.371543,0,0,0,0,1,19,1,19,0,0,0,0,0.5,1,0.666667,?,0.5,0.5,0.5,0.5,0.5,0.5,?,0.5,?,?,0.5,0.416898,?,0.5,0,0,0.000024,0.000017,0.024,0.017,932,32587,4966,100,100,?,?,?,?,?,?,?
Filterd_dementia_data,2,4,weka.classifiers.rules.ZeroR,'',48055541465867954,20231011.074,336,37,19,18,0,51.351351,48.648649,0,0,0.382152,0.43442,100,100,48.837443,48.837443,0,1.319931,1.319931,0,0,0,0,1,19,1,18,0,0,0,0,0.513514,1,0.678571,?,0.5,0.513514,0.513514,0.513514,0.486486,0.486486,?,0.513514,?,?,0.5,0.434624,?,0.513514,0,0,0.000025,0.000016,0.025,0.016,932,32680,4873,100,100,?,?,?,?,?,?,?
Filterd_dementia_data,2,5,weka.classifiers.rules.ZeroR,'',48055541465867954,20231011.074,336,37,19,18,0,51.351351,48.648649,0,0,0.382152,0.43442,100,100,48.837443,48.837443,0,1.319931,1.319931,0,0,0,0,1,19,1,18,0,0,0,0,0.513514,1,0.678571,?,0.5,0.513514,0.513514,0.513514,0.486486,0.486486,?,0.513514,?,?,0.5,0.434624,?,0.513514,0,0,0.000023,0.000016,0.023,0.016,932,32680,4873,100,100,?,?,?,?,?,?,?
Filterd_dementia_data,2,6,weka.classifiers.rules.ZeroR,'',48055541465867954,20231011.074,336,37,19,18,0,51.351351,48.648649,0,0,0.382152,0.43442,100,100,48.837443,48.837443,0,1.319931,1.319931,0,0,0,0,1,19,1,18,0,0,0,0,0.513514,1,0.678571,?,0.5,0.513514,0.513514,0.513514,0.486486,0.486486,?,0.513514,?,?,0.5,0.434624,?,0.513514,0,0,0.000023,0.000015,0.023,0.015,932,32680,4873,100,100,?,?,?,?,?,?,?
Filterd_dementia_data,2,7,weka.classifiers.rules.ZeroR,'',48055541465867954,20231011.074,336,37,19,18,0,51.351351,48.648649,0,0,0.386776,0.440356,100,100,50.767398,50.767398,0,1.372092,1.372092,0,0,0,0,1,19,1,18,0,0,0,0,0.513514,1,0.678571,?,0.5,0.513514,0.513514,0.513514,0.486486,0.486486,?,0.513514,?,?,0.5,0.418554,?,0.513514,0,0,0.000024,0.000015,0.024,0.015,932,32680,4873,100,100,?,?,?,?,?,?,?
Filterd_dementia_data,2,8,weka.classifiers.rules.ZeroR,'',48055541465867954,20231011.074,336,37,19,18,0,51.351351,48.648649,0,0,0.386776,0.440356,100,100,50.767398,50.767398,0,1.372092,1.372092,0,0,0,0,1,19,1,18,0,0,0,0,0.513514,1,0.678571,?,0.5,0.513514,0.513514,0.513514,0.486486,0.486486,?,0.513514,?,?,0.5,0.418554,?,0.513514,0,0,0.000025,0.000016,0.025,0.016,932,32680,4873,100,100,?,?,?,?,?,?,?
Filterd_dementia_data,2,9,weka.classifiers.rules.ZeroR,'',48055541465867954,20231011.074,336,37,19,18,0,51.351351,48.648649,0,0,0.386776,0.440356,100,100,50.767398,50.767398,0,1.372092,1.372092,0,0,0,0,1,19,1,18,0,0,0,0,0.513514,1,0.678571,?,0.5,0.513514,0.513514,0.513514,0.486486,0.486486,?,0.513514,?,?,0.5,0.418554,?,0.513514,0,0,0.000024,0.000016,0.024,0.016,932,32680,4873,100,100,?,?,?,?,?,?,?
